ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1995,0,0,0,0,0,0,0,9,8,0
10002,1995,0,10,0,12,0,0,0,0,13,0
10003,1995,0,0,0,0,0,0,0,0,0,0
10004,1995,0,0,0,0,0,0,0,0,0,0
10005,1995,30,18,21,12,14,5,23,13,19,12
10006,1995,0,0,0,0,0,9,0,0,0,0
10007,1995,0,0,0,0,0,0,0,0,0,0
10008,1995,0,0,8,0,0,0,0,22,15,0
10009,1995,0,0,7,0,0,0,0,0,0,0
10010,1995,0,0,0,0,0,0,0,0,0,0
10011,1995,0,0,0,0,0,0,0,0,0,0
10012,1995,16,37,24,19,30,16,24,34,12,26
10013,1995,0,0,0,0,0,0,0,0,0,0
10014,1995,0,0,0,0,0,0,0,0,0,18
10015,1995,0,0,0,0,0,0,0,0,0,0
10016,1995,0,0,0,0,0,0,0,0,0,0
10017,1995,0,0,0,0,0,0,0,0,0,0
10018,1995,0,0,0,0,12,0,0,0,0,0
10019,1995,13,22,15,21,25,29,34,0,21,16
10020,1995,0,0,0,21,18,0,28,0,9,26
10021,1995,33,13,16,26,14,8,17,21,16,9
10022,1995,0,28,0,17,0,15,23,0,16,34
10023,1995,0,0,0,0,0,0,0,0,0,0
10024,1995,0,0,0,0,0,0,0,0,0,0
10025,1995,0,0,0,0,0,0,0,0,16,15
10026,1995,22,12,10,20,3,11,17,4,12,19
10027,1995,0,0,0,0,0,0,0,0,0,0
10028,1995,16,16,9,29,17,23,42,14,14,21
10029,1995,0,0,0,0,0,0,0,0,0,0
10030,1995,8,19,7,10,23,21,25,21,16,12
10031,1995,0,0,0,0,0,0,0,0,0,7
10032,1995,0,0,0,0,0,0,0,0,0,0
10033,1995,20,24,20,2,21,38,22,26,19,15
10035,1995,0,0,10,0,0,0,0,25,0,19
10036,1995,0,18,0,30,9,0,16,0,5,0
10037,1995,0,16,16,0,0,15,21,16,19,10
10038,1995,24,0,0,21,0,0,0,0,0,21
10039,1995,12,37,16,8,19,16,13,5,24,13
10040,1995,0,0,0,0,0,0,0,0,0,0
10041,1995,0,0,17,0,0,0,0,0,0,0
10042,1995,31,31,31,31,31,31,31,31,31,31
10043,1995,0,0,0,0,0,0,0,0,0,0
