ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10194,1990,0,0,0,0,0,0,0,0,0,0
10195,1990,0,0,0,0,0,0,0,0,0,0
10196,1990,0,0,0,18,0,0,0,0,0,0
10197,1990,25,28,31,31,16,27,28,0,25,16
10198,1990,0,0,0,0,0,0,0,0,0,0
10199,1990,0,0,0,0,0,0,0,0,0,0
10200,1990,0,11,0,0,0,0,0,0,0,0
10201,1990,9,0,21,16,0,7,0,0,6,0
10202,1990,19,0,0,0,0,0,0,0,0,0
10204,1990,0,16,11,13,0,0,0,0,0,0
10205,1990,7,7,7,7,7,7,7,7,7,7
10206,1990,0,0,0,0,0,5,0,0,0,0
10207,1990,9,9,9,9,9,9,9,9,9,9
10208,1990,0,0,0,0,0,0,0,0,0,0
10209,1990,0,25,12,14,22,5,19,20,24,19
10210,1990,0,0,0,0,0,0,0,0,0,0
10211,1990,17,17,17,17,17,17,17,17,17,17
10212,1990,0,0,0,18,0,0,0,0,0,0
10213,1990,0,0,0,3,0,14,0,12,0,0
10214,1990,0,0,0,0,14,0,0,14,0,0
10215,1990,6,11,9,10,8,12,25,17,24,11
10216,1990,0,0,0,0,0,0,0,0,0,0
10217,1990,16,16,16,16,16,16,16,16,16,16
10218,1990,0,0,0,0,0,0,0,0,0,0
10219,1990,18,13,23,22,5,1,18,19,19,0
10220,1990,12,12,12,12,12,12,12,12,12,12
10221,1990,7,7,7,7,7,7,7,7,7,7
10222,1990,22,22,22,22,22,22,22,22,22,22
10223,1990,0,0,0,0,0,0,42,26,0,0
10224,1990,0,0,0,0,0,0,0,0,0,0
10225,1990,15,15,15,15,15,15,15,15,15,15
10226,1990,0,6,0,0,0,0,21,13,0,13
10227,1990,21,32,28,24,21,12,20,19,15,25
10228,1990,0,0,0,0,0,0,0,0,0,0
10229,1990,4,4,4,8,4,4,4,4,4,4
10230,1990,18,18,18,18,18,18,18,18,18,18
10231,1990,0,0,0,0,0,0,0,0,0,0
10232,1990,8,0,16,7,0,13,20,0,0,20
10233,1990,0,0,12,0,0,0,0,0,0,0
10234,1990,0,0,0,0,0,0,0,0,0,0
10235,1990,7,24,12,0,0,26,14,14,9,27
10236,1990,14,14,14,14,14,14,14,14,14,14
10237,1990,8,8,8,8,8,8,8,8,11,8
10238,1990,0,0,0,0,0,0,0,0,0,0
10239,1990,13,0,18,12,20,0,11,0,19,0
10240,1990,0,0,22,0,25,0,0,34,9,0
10241,1990,16,16,16,16,16,16,16,16,16,16
10242,1990,0,0,0,14,0,0,0,0,0,0
10243,1990,14,0,0,0,0,0,12,0,0,19
10244,1990,0,0,0,0,0,0,0,0,0,0
10245,1990,0,0,0,0,0,0,0,9,0,0
10246,1990,0,0,18,0,0,0,0,13,0,0
10247,1990,0,0,0,0,0,14,0,0,17,24
10248,1990,14,14,14,14,14,14,14,14,14,14
10249,1990,0,0,0,0,0,0,0,0,25,0
10250,1990,13,13,13,13,13,13,13,13,13,13
10251,1990,0,0,0,0,0,0,13,0,0,0
10252,1990,28,0,26,32,27,0,4,26,17,0
10253,1990,22,22,22,22,22,22,22,22,22,22
10254,1990,0,0,0,0,0,0,0,0,0,0
10255,1990,0,55,0,4,3,9,11,25,2,14
10256,1990,0,9,14,12,18,25,24,17,9,35
10257,1990,0,34,0,0,0,0,0,0,33,0
10258,1990,24,24,24,24,24,24,24,24,24,24
10259,1990,19,19,19,19,19,19,19,19,19,19
10260,1990,0,0,0,0,0,0,0,0,0,0
10261,1990,20,20,20,20,20,20,20,20,37,20
10262,1990,24,24,24,24,24,24,24,24,24,24
10263,1990,16,16,16,16,16,16,16,16,16,16
10264,1990,17,17,17,17,17,17,17,17,17,17
10265,1990,0,0,0,0,0,0,0,0,0,0
10266,1990,20,20,20,20,20,20,20,20,20,20
10267,1990,4,8,10,21,17,24,3,16,18,12
10268,1990,16,29,8,17,17,9,13,18,0,0
10269,1990,0,0,0,0,0,0,0,0,0,0
10270,1990,0,0,0,13,0,0,0,0,0,0
10271,1990,0,0,0,0,0,0,0,21,0,0
10272,1990,0,0,27,0,0,0,8,0,41,0
10273,1990,22,22,22,22,22,22,22,22,22,22
10274,1990,0,0,0,0,0,0,0,0,0,0
10275,1990,18,18,18,18,18,18,18,18,18,18
10276,1990,0,0,0,0,0,0,0,0,0,0
10277,1990,28,28,28,28,28,28,28,28,28,28
10278,1990,15,15,15,15,15,15,15,15,15,15
10279,1990,29,29,29,29,29,29,29,29,29,29
10280,1990,0,0,0,0,0,0,0,0,0,0
10281,1990,0,0,0,25,20,0,23,14,0,0
10282,1990,25,25,25,25,25,25,25,25,25,25
10283,1990,18,0,0,0,0,0,0,0,0,0
10284,1990,0,0,0,22,0,0,0,0,0,0
10285,1990,0,0,0,0,0,0,0,0,0,0
10286,1990,0,0,0,0,0,0,8,0,0,0
10287,1990,38,38,38,38,38,38,38,38,38,38
10288,1990,22,22,22,22,22,22,22,22,22,22
10289,1990,31,14,32,12,11,14,6,28,23,21
10290,1990,0,0,17,13,0,20,3,0,13,18
10291,1990,21,21,21,21,21,21,21,21,21,21
10292,1990,0,0,0,0,0,0,0,0,0,0
10293,1990,0,0,0,0,0,0,0,0,0,0
10294,1990,0,0,0,0,0,0,0,0,0,0
10295,1990,11,6,26,17,30,10,10,6,9,9
10296,1990,0,6,0,0,0,0,0,0,0,0
10298,1990,0,0,0,0,0,0,0,0,0,0
10299,1990,25,18,18,18,18,18,18,18,18,18
10300,1990,0,0,0,0,0,0,0,0,0,9
10301,1990,20,20,20,20,20,20,20,20,20,20
10302,1990,0,0,0,8,0,0,0,0,0,29
10303,1990,0,0,0,0,0,0,0,0,0,0
10304,1990,0,0,0,0,0,0,0,0,0,0
10305,1990,24,35,21,26,0,18,16,4,0,12
10306,1990,20,20,20,20,20,20,20,20,20,20
10307,1990,23,0,0,0,9,11,19,11,13,19
10308,1990,21,22,24,12,13,17,21,25,23,5
10309,1990,32,15,15,15,15,15,15,15,15,15
10310,1990,0,0,0,0,0,0,0,0,0,0
10311,1990,12,33,33,33,14,28,11,25,9,18
10312,1990,0,0,0,0,0,25,0,0,0,0
10313,1990,0,0,0,0,0,0,0,0,0,0
10314,1990,0,10,0,0,15,0,0,0,0,0
10315,1990,13,17,21,21,22,25,28,12,25,12
10316,1990,0,0,0,0,0,18,0,0,0,0
10317,1990,24,22,22,22,33,22,29,22,22,23
10318,1990,0,0,0,0,0,0,0,0,0,0
10319,1990,12,15,10,11,7,4,18,14,11,12
10320,1990,17,17,17,17,17,17,17,17,17,17
10321,1990,25,25,25,25,25,25,25,25,25,25
10322,1990,0,0,0,0,19,0,0,0,0,0
10323,1990,12,0,0,0,12,2,0,24,8,12
10324,1990,24,24,24,24,24,24,24,24,24,24
10325,1990,0,0,0,0,0,0,0,0,0,0
10326,1990,16,16,16,16,16,16,16,16,16,16
10327,1990,22,22,22,22,22,22,22,22,22,22
10328,1990,0,0,0,0,0,0,0,0,0,0
10329,1990,34,0,0,27,0,0,0,0,0,0
10330,1990,21,10,27,16,15,30,11,18,14,17
10331,1990,37,0,10,0,22,6,19,25,32,0
10332,1990,13,4,0,0,0,0,17,7,10,0
10333,1990,21,18,13,24,14,12,18,24,27,15
10334,1990,24,24,24,24,24,24,24,24,24,24
10335,1990,0,0,0,0,0,0,12,0,0,0
10336,1990,16,16,16,16,16,16,16,16,16,16
10337,1990,0,0,0,0,0,0,0,0,0,0
10338,1990,11,20,3,11,6,13,5,21,27,18
10339,1990,6,6,6,6,6,6,6,6,6,6
10340,1990,15,27,13,0,11,0,21,22,8,18
10341,1990,0,0,0,0,28,24,27,16,13,19
10342,1990,24,0,12,17,13,0,0,18,0,11
10343,1990,22,22,22,22,22,22,22,22,22,22
10344,1990,20,18,13,0,24,11,6,23,8,17
10345,1990,0,0,0,0,0,0,0,0,0,0
10346,1990,0,0,0,0,0,0,0,0,0,0
10347,1990,13,22,4,20,9,18,9,17,11,9
10348,1990,13,13,13,13,13,13,13,13,13,13
10349,1990,25,25,25,25,25,25,25,25,25,25
10350,1990,0,25,0,0,0,0,0,0,0,0
10351,1990,20,20,20,20,20,20,20,20,20,20
10352,1990,0,0,0,0,0,0,0,0,0,0
10353,1990,0,0,0,0,0,0,3,0,0,0
10354,1990,0,0,0,0,0,0,4,0,0,0
10355,1990,0,0,0,0,0,0,0,0,0,0
10356,1990,0,0,0,0,0,0,0,0,0,0
10357,1990,9,9,9,9,9,9,9,9,9,9
10358,1990,27,24,11,8,22,12,19,11,0,17
10359,1990,0,0,0,0,0,0,0,0,0,0
10360,1990,28,28,28,28,28,28,28,28,28,28
10361,1990,14,6,22,13,0,3,12,16,0,13
10362,1990,0,0,0,22,0,0,0,0,0,0
10363,1990,18,0,0,0,0,0,0,0,0,0
10364,1990,0,0,0,0,29,0,0,0,0,0
10365,1990,16,16,16,16,16,16,16,16,16,16
10366,1990,0,0,0,0,0,0,0,0,0,0
10367,1990,18,18,18,18,18,18,18,18,18,18
10368,1990,27,25,14,15,24,14,26,15,21,13
10369,1990,23,20,25,15,26,13,28,24,15,20
10370,1990,16,16,16,16,16,16,16,16,16,16
10371,1990,15,15,15,15,15,15,15,15,15,15
10372,1990,0,0,0,0,0,0,0,0,0,0
10373,1990,0,0,14,0,0,0,0,8,0,0
10374,1990,0,0,0,0,0,11,0,0,16,0
10375,1990,24,24,24,24,24,24,24,24,24,24
10376,1990,26,26,26,26,26,26,26,26,26,26
10377,1990,10,10,10,10,10,10,10,10,10,10
10378,1990,0,0,0,43,0,16,12,0,8,31
10379,1990,25,16,10,11,12,21,23,21,12,15
10380,1990,25,25,25,25,25,25,25,25,25,25
10381,1990,13,13,13,13,13,13,13,13,13,13
10382,1990,30,0,26,6,27,0,5,36,22,21
10383,1990,22,22,22,22,22,22,22,22,22,22
10384,1990,17,12,21,10,25,19,15,15,18,18
10385,1990,18,18,18,18,18,18,18,18,18,18
10386,1990,0,0,0,0,0,0,0,0,0,0
10387,1990,0,0,0,0,0,0,20,0,0,11
10388,1990,6,0,8,7,17,20,11,13,12,0
10389,1990,19,4,7,18,25,18,18,23,28,11
10390,1990,20,20,20,20,20,20,20,20,20,20
10391,1990,0,0,0,0,0,0,0,10,0,0
10392,1990,0,0,0,0,0,0,0,0,0,19
10393,1990,8,31,10,9,8,8,17,10,20,11
10394,1990,0,0,0,0,0,0,0,18,0,19
10395,1990,0,0,0,0,0,0,0,0,0,0
10396,1990,0,33,0,12,0,0,0,0,0,0
10397,1990,23,23,23,23,23,23,23,23,23,23
10398,1990,18,17,24,29,17,39,26,34,26,25
10399,1990,31,33,10,10,16,53,12,13,13,17
10401,1990,8,17,33,21,42,19,20,10,22,41
10402,1990,13,9,16,9,12,23,31,32,14,0
10403,1990,20,36,12,14,15,2,0,21,22,26
10404,1990,3,3,3,3,3,3,3,3,3,3
10405,1990,14,14,14,14,14,14,14,14,14,14
10406,1990,0,0,0,0,0,0,0,0,10,0
10407,1990,0,0,0,0,0,0,0,0,0,0
10408,1990,23,23,23,23,23,23,23,23,23,23
10409,1990,0,0,0,0,0,0,0,0,0,0
10410,1990,0,0,0,0,0,0,0,0,0,0
10411,1990,0,0,0,0,0,0,3,0,0,0
10412,1990,25,32,25,19,17,21,12,16,24,0
10413,1990,0,0,0,0,0,0,0,0,0,0
10414,1990,9,9,9,9,9,9,9,9,9,9
10416,1990,0,0,0,0,0,0,0,0,0,0
10417,1990,0,0,38,0,0,0,28,0,20,9
10418,1990,10,0,0,15,0,21,0,0,21,0
10419,1990,0,14,0,21,18,24,12,0,22,9
10420,1990,12,12,12,12,12,12,12,12,12,12
10421,1990,10,12,11,25,12,15,12,20,30,0
10422,1990,22,22,22,22,22,22,22,22,22,22
10423,1990,10,8,13,0,7,16,13,8,8,13
10424,1990,17,17,0,13,22,18,12,14,26,27
10425,1990,15,15,15,15,15,15,15,15,15,15
10426,1990,0,0,0,0,2,0,0,0,0,0
10427,1990,0,13,0,0,0,0,0,0,0,0
10428,1990,0,0,0,0,0,0,0,0,0,0
10429,1990,0,0,0,0,0,0,0,0,0,0
10430,1990,22,22,22,22,22,22,22,22,22,22
10431,1990,0,0,0,0,0,0,0,0,0,0
10432,1990,27,37,27,0,33,18,19,26,32,38
10433,1990,0,0,0,0,0,0,0,0,0,0
10434,1990,4,4,4,4,4,4,4,4,4,4
10435,1990,0,0,0,0,0,0,0,0,0,0
10436,1990,0,0,0,0,0,0,0,0,0,0
10437,1990,18,18,18,18,18,18,18,18,18,18
10438,1990,0,0,0,0,0,0,0,0,0,0
10439,1990,32,21,26,19,24,13,30,14,18,9
10440,1990,0,0,0,0,0,0,16,0,0,0
10441,1990,0,0,0,0,0,0,0,0,0,0
10442,1990,7,7,7,7,7,7,7,7,7,7
10443,1990,25,21,37,27,21,26,24,13,6,30
10444,1990,14,14,14,14,14,14,14,14,14,14
10445,1990,0,0,0,0,0,0,0,0,0,0
10446,1990,15,15,15,15,15,15,15,15,15,15
10447,1990,0,0,0,0,0,6,0,0,0,0
10448,1990,11,11,11,11,11,13,11,17,11,11
10449,1990,0,0,0,0,0,0,0,0,0,0
10450,1990,0,0,0,0,0,0,0,0,0,0
10451,1990,0,0,0,0,7,0,0,17,0,0
10452,1990,24,24,24,24,24,24,24,24,24,24
10453,1990,9,9,9,9,24,9,21,9,9,9
10454,1990,18,12,23,12,11,0,17,30,28,19
10455,1990,23,23,23,23,23,23,23,23,23,23
10456,1990,22,22,22,22,22,22,22,22,22,22
10457,1990,0,0,0,0,0,0,0,0,0,0
10458,1990,0,0,0,9,0,0,0,4,0,0
10459,1990,0,0,0,0,0,0,0,0,0,0
10460,1990,18,13,19,26,21,22,5,31,18,13
10461,1990,0,0,0,0,13,0,0,0,0,0
10462,1990,0,0,7,0,8,0,0,18,0,0
10463,1990,33,29,26,27,32,15,16,17,24,25
10465,1990,7,0,0,19,0,10,14,0,0,6
10466,1990,14,10,27,28,26,17,12,19,23,29
10467,1990,14,0,0,0,0,0,0,0,0,0
10468,1990,0,0,0,0,0,0,0,0,0,0
10469,1990,17,0,0,0,0,0,0,0,0,0
10470,1990,14,14,14,14,14,14,14,14,14,14
10471,1990,12,19,11,24,0,13,0,15,23,13
10472,1990,12,0,8,0,21,11,0,19,7,7
10473,1990,25,16,27,21,35,11,33,0,25,18
10474,1990,30,30,30,30,30,30,30,30,30,30
10475,1990,0,0,0,14,0,0,0,17,0,0
10476,1990,0,0,0,0,0,0,0,0,0,0
10477,1990,0,0,0,0,0,0,0,0,0,0
10478,1990,0,10,10,16,4,36,25,7,23,9
10479,1990,0,0,0,0,14,0,0,0,0,0
10480,1990,14,14,14,14,14,14,14,14,14,14
10481,1990,14,14,14,14,14,14,14,14,14,14
10482,1990,13,13,13,13,13,13,13,13,13,13
10483,1990,0,0,0,0,0,0,31,0,0,0
10484,1990,0,0,0,0,0,0,0,0,0,0
10485,1990,0,0,0,0,0,0,0,0,0,0
10486,1990,0,0,0,0,0,0,0,0,0,0
10487,1990,19,9,0,39,40,11,16,28,0,21
10488,1990,8,14,17,6,10,11,4,17,6,14
10489,1990,0,0,0,0,0,0,0,0,0,0
10490,1990,0,0,0,0,0,0,0,0,0,0
10491,1990,17,17,17,17,17,17,17,17,17,17
10492,1990,33,29,15,33,22,33,18,10,9,16
10493,1990,0,0,0,7,0,0,0,0,0,17
10494,1990,17,12,0,26,12,24,3,6,11,2
10495,1990,0,0,0,0,0,0,0,0,0,0
10496,1990,0,0,0,0,0,0,0,0,0,0
10497,1990,0,9,0,0,0,0,0,16,0,0
10498,1990,24,18,15,25,16,26,10,28,10,12
10499,1990,0,0,29,29,19,0,0,0,0,0
10500,1990,13,13,13,13,13,13,13,13,13,13
10501,1990,0,0,0,0,0,0,0,0,0,10
10502,1990,0,16,0,0,16,14,6,0,7,23
10503,1990,11,26,4,22,17,5,19,9,21,20
10504,1990,0,0,0,0,0,0,0,0,0,0
10505,1990,31,31,31,31,31,31,31,31,31,31
10506,1990,25,19,4,9,23,11,19,18,12,0
10507,1990,0,0,0,0,0,0,0,0,0,0
10508,1990,8,8,8,8,8,8,8,8,8,8
10509,1990,0,0,0,0,0,0,0,0,0,0
10510,1990,31,31,31,31,31,31,31,31,31,31
10511,1990,5,5,5,5,5,5,5,5,5,5
10512,1990,23,23,23,23,23,23,23,23,23,23
10513,1990,11,11,11,11,11,11,11,11,11,11
10514,1990,0,0,0,0,0,0,0,0,0,0
10515,1990,0,0,0,0,0,0,0,0,0,0
10516,1990,28,28,28,28,28,28,28,28,28,28
10517,1990,16,16,16,16,16,16,16,16,16,16
10518,1990,21,17,19,8,24,17,21,20,19,18
10519,1990,0,0,0,0,0,0,0,0,0,0
10520,1990,0,0,0,0,0,0,0,0,0,0
10521,1990,0,0,0,0,0,0,0,0,0,0
10522,1990,2,2,2,2,2,2,2,2,2,2
10523,1990,0,0,0,0,11,0,0,0,0,0
10524,1990,0,0,19,7,25,0,21,24,18,17
10525,1990,0,0,0,0,0,0,0,0,0,0
10526,1990,15,15,15,15,15,15,15,15,15,15
10527,1990,21,18,35,15,26,28,24,13,13,13
10528,1990,0,0,0,0,0,0,0,0,0,0
10529,1990,9,9,9,9,9,9,9,9,9,9
10530,1990,35,11,18,0,35,35,0,0,9,0
10531,1990,0,9,0,12,10,14,7,0,0,0
10532,1990,0,0,0,14,0,0,0,0,0,0
10533,1990,0,0,0,0,0,0,0,0,0,0
10534,1990,4,8,16,8,16,0,13,22,0,19
10535,1990,12,12,12,12,12,12,12,12,12,12
10536,1990,0,0,0,0,0,0,0,12,0,0
10537,1990,11,20,0,16,12,12,0,20,26,27
10538,1990,15,15,15,15,15,15,15,15,15,15
